meno	priezvisko
Miroslav	Abrahám
Peter	Abrahám
Elena	Akácsová
Andrej	Babiš
Alexander	Ballek
Edit	Bauer
Miroslav	Beblavý
Viktor	Béreš
Martin	Borèin
Bruno	Ciberej
Ján	Ducký
Stanislav	Foøt
Pavol	Frešo
Eduard	Heger
Martin	Chren
František	Imrecze
Eugen	Jurzyca
Karol	Kállay
Ladislav	Kamenický
¼udovít	Kaník
Peter	Kažimír
Jana	Kiššová
Jozef	Korbel
Miloš	Koterec
Michal	Kováè
Emília	Kováèová
Sergej	Kozlík
Dušan	Krištofík
Jaroslav	Kubeèka
Pavol	Lanèariè
Jozef	Markuš
Martin	Paule
Ladislav	Pittner
Ján	Poèiatek
Štefan	Sádovský
Silvia	Shahzad
Emília	Sièáková-Beblavá
Daniel	Skala
Anton	Šafárik
Jozef	Šesták
Ivan	Šimko
Bohumila	Tauchmannová
Marián	Tkáè
Patrik	Tkáè
Viera	Tomanová
Rastislav	Trnka
Hana	Vanovèanová
Peter	Varga
Juraj	Zábojník
Peter	Žiga
